game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,release_speed,release_spin_rate,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,stand,balls,strikes,description,events,launch_speed
2026-08-10,1,1,1,SI,Sinker,97.3,2293,1.53,6.28,0.82,1.32,-0.891,1.956,3.18,1.61,R,0,0,called_strike,,
2026-08-10,1,1,2,CH,Changeup,86.4,1924,1.71,6.14,0.93,0.64,-0.159,1.465,3.18,1.61,R,0,1,swinging_strike,,
2026-08-10,1,1,3,CH,Changeup,89.3,1997,2.0,6.09,1.06,0.62,0.963,2.032,3.18,1.61,R,0,2,ball,,
2026-08-10,1,1,4,FF,4-Seam Fastball,98.5,2447,1.48,6.38,0.06,1.45,-0.353,2.891,3.18,1.61,R,1,2,hit_into_play,single,68.2
2026-08-10,1,2,1,CH,Changeup,87.8,1986,2.09,6.1,1.1,0.33,0.437,1.426,3.24,1.63,R,0,0,hit_into_play,force_out,100.2
2026-08-10,1,3,1,CU,Curveball,80.5,2530,1.78,6.32,-0.63,-0.42,0.476,3.836,3.4,1.72,L,0,0,ball,,
2026-08-10,1,3,2,SI,Sinker,96.3,2214,1.85,6.23,1.04,0.95,1.268,2.677,3.4,1.72,L,1,0,foul,,55.9
2026-08-10,1,3,3,SI,Sinker,97.3,2288,1.67,6.18,1.06,0.94,-0.155,2.397,3.4,1.72,L,1,1,called_strike,,
2026-08-10,1,3,4,SI,Sinker,98.3,2307,1.72,6.16,1.26,0.95,0.51,3.347,3.4,1.72,L,1,2,foul,,65.5
2026-08-10,1,3,5,CH,Changeup,90.9,1890,1.84,6.04,1.17,0.2,-0.702,0.562,3.4,1.72,L,1,2,blocked_ball,,
2026-08-10,1,3,6,CH,Changeup,89.0,1925,2.15,6.06,1.23,0.38,0.014,0.971,3.4,1.72,L,2,2,foul,,
2026-08-10,1,3,7,CH,Changeup,88.3,1911,1.94,6.06,1.2,0.45,-0.315,1.82,3.4,1.72,L,2,2,foul,,87.4
2026-08-10,1,3,8,SI,Sinker,97.8,2160,1.78,6.16,1.05,0.79,0.378,2.888,3.4,1.72,L,2,2,hit_into_play,single,94.9
2026-08-10,1,4,1,CH,Changeup,86.7,1889,2.13,6.0,0.96,0.12,0.194,1.81,3.31,1.67,R,0,0,called_strike,,
2026-08-10,1,4,2,SI,Sinker,96.9,2220,1.77,6.23,1.11,0.81,0.977,4.425,3.31,1.67,R,0,1,ball,,
2026-08-10,1,4,3,SI,Sinker,96.7,2247,1.69,6.15,1.15,0.79,0.435,2.551,3.31,1.67,R,1,1,swinging_strike,,
2026-08-10,1,4,4,FF,4-Seam Fastball,96.1,2226,1.61,6.44,-0.03,1.26,-0.003,5.328,3.31,1.67,R,1,2,ball,,
2026-08-10,1,4,5,CH,Changeup,88.1,1972,1.81,6.07,1.16,0.23,0.055,0.884,3.31,1.67,R,2,2,hit_into_play,grounded_into_double_play,108.6
2026-08-10,2,9,1,SI,Sinker,95.8,2296,1.78,6.2,1.02,1.03,0.531,2.617,3.19,1.61,L,0,0,hit_into_play,field_out,95.2
2026-08-10,2,10,1,SI,Sinker,96.6,2277,1.91,6.15,0.98,0.91,-0.238,3.357,3.21,1.62,R,0,0,ball,,
2026-08-10,2,10,2,SL,Slider,87.6,2232,1.98,6.18,-0.36,0.26,0.084,2.497,3.21,1.62,R,1,0,called_strike,,
2026-08-10,2,10,3,CH,Changeup,86.5,1936,2.1,6.07,0.7,0.38,0.179,1.497,3.21,1.62,R,1,1,swinging_strike,,
2026-08-10,2,10,4,CH,Changeup,87.9,1952,2.26,5.93,1.14,0.31,0.422,1.16,3.21,1.62,R,1,2,ball,,
2026-08-10,2,10,5,SI,Sinker,97.5,2201,1.72,6.18,1.06,1.05,-0.491,2.734,3.21,1.62,R,2,2,foul,,62.8
2026-08-10,2,10,6,FF,4-Seam Fastball,97.7,2323,1.45,6.36,0.25,1.32,0.419,3.343,3.21,1.62,R,2,2,foul,,83.0
2026-08-10,2,10,7,CH,Changeup,88.6,1951,2.05,6.02,1.14,0.52,-0.148,1.346,3.21,1.62,R,2,2,foul,,45.3
2026-08-10,2,10,8,CH,Changeup,89.0,1937,2.2,5.94,1.31,0.68,-0.015,0.608,3.21,1.62,R,2,2,ball,,
2026-08-10,2,10,9,SI,Sinker,97.3,2093,1.81,6.18,1.03,0.91,0.439,3.463,3.21,1.62,R,3,2,ball,walk,
2026-08-10,2,11,1,SI,Sinker,96.4,2242,1.86,6.12,1.12,0.89,0.449,3.578,3.2,1.61,L,0,0,ball,,
2026-08-10,2,11,2,SI,Sinker,95.3,2195,1.95,6.13,1.12,0.89,0.328,2.821,3.2,1.61,L,1,0,foul,,51.1
2026-08-10,2,11,3,CH,Changeup,86.6,1770,2.14,5.95,1.08,0.48,0.96,1.587,3.2,1.61,L,1,1,foul,,90.4
2026-08-10,2,11,4,CH,Changeup,88.9,1825,2.05,6.01,1.3,0.23,1.067,1.64,3.2,1.61,L,1,2,swinging_strike,strikeout,
2026-08-10,2,12,1,SI,Sinker,96.7,2161,1.8,6.16,0.95,0.97,0.903,4.181,3.01,1.52,R,0,0,ball,,
2026-08-10,2,12,2,SI,Sinker,95.1,2153,1.66,6.17,1.2,0.73,-0.714,1.526,3.01,1.52,R,1,0,called_strike,,
2026-08-10,2,12,3,CH,Changeup,86.1,1813,2.23,6.02,1.08,0.27,1.547,1.868,3.01,1.52,R,1,1,ball,,
2026-08-10,2,12,4,SL,Slider,89.0,2223,2.2,6.05,-0.51,0.39,-0.042,2.918,3.01,1.52,R,2,1,foul,,62.2
2026-08-10,2,12,5,SI,Sinker,97.2,2215,1.75,6.05,1.12,0.86,-0.22,1.529,3.01,1.52,R,2,2,foul,,86.7
2026-08-10,2,12,6,FF,4-Seam Fastball,96.7,2287,1.59,6.31,0.29,1.29,0.048,3.221,3.01,1.52,R,2,2,swinging_strike,strikeout,
2026-08-10,3,17,1,SI,Sinker,96.2,2201,1.9,6.2,0.91,0.99,-0.05,2.593,3.11,1.57,L,0,0,called_strike,,
2026-08-10,3,17,2,CU,Curveball,78.5,2536,1.83,6.28,-0.67,-0.44,1.081,2.691,3.11,1.57,L,0,1,ball,,
2026-08-10,3,17,3,SI,Sinker,94.9,2119,1.84,6.1,1.0,0.92,0.06,2.292,3.11,1.57,L,1,1,foul,,81.1
2026-08-10,3,17,4,FF,4-Seam Fastball,98.1,2380,1.63,6.39,0.09,1.57,0.685,1.491,3.11,1.57,L,1,2,ball,,
2026-08-10,3,17,5,CH,Changeup,87.3,1856,2.14,6.08,1.29,0.35,-1.477,0.48,3.11,1.57,L,2,2,ball,,
2026-08-10,3,17,6,SI,Sinker,95.9,2066,2.05,6.11,0.92,1.0,-0.047,2.457,3.11,1.57,L,3,2,hit_into_play,field_out,73.1
2026-08-10,3,18,1,CH,Changeup,86.2,1693,2.09,6.08,1.0,0.84,-0.139,2.439,3.18,1.61,R,0,0,foul,,70.5
2026-08-10,3,18,2,SI,Sinker,97.1,2163,1.8,6.09,1.21,1.0,0.15,2.712,3.18,1.61,R,0,1,hit_into_play,double,103.1
2026-08-10,3,19,1,SI,Sinker,96.3,2133,1.7,6.18,0.96,1.03,-1.014,2.964,3.24,1.63,R,0,0,ball,,
2026-08-10,3,19,2,FF,4-Seam Fastball,95.9,2295,1.81,6.43,0.46,1.41,1.008,4.237,3.24,1.63,R,1,0,ball,,
2026-08-10,3,19,3,SL,Slider,90.8,2201,2.28,6.12,-0.38,0.44,-0.388,1.454,3.24,1.63,R,2,0,ball,,
2026-08-10,3,19,4,SI,Sinker,96.6,2152,1.82,6.22,1.11,1.1,0.007,2.353,3.24,1.63,R,3,0,called_strike,,
2026-08-10,3,19,5,CH,Changeup,86.2,1765,2.24,6.01,1.3,0.38,-0.32,1.822,3.24,1.63,R,3,1,foul,,61.9
2026-08-10,3,19,6,FF,4-Seam Fastball,96.6,2215,1.82,6.37,0.29,1.36,0.462,4.293,3.24,1.63,R,3,2,swinging_strike,strikeout,
2026-08-10,3,20,1,CU,Curveball,80.4,2509,1.99,6.28,-0.68,-0.27,0.473,2.725,3.4,1.72,L,0,0,called_strike,,
2026-08-10,3,20,2,SI,Sinker,97.7,2178,1.63,6.29,1.03,1.0,0.886,1.754,3.4,1.72,L,0,1,swinging_strike,,
2026-08-10,3,20,3,CH,Changeup,87.6,1804,2.27,6.08,1.1,0.35,0.299,1.656,3.4,1.72,L,0,2,foul,,93.7
2026-08-10,3,20,4,FF,4-Seam Fastball,97.9,2398,1.66,6.29,0.24,1.33,-0.346,2.886,3.4,1.72,L,0,2,foul,,
2026-08-10,3,20,5,SL,Slider,91.5,2285,2.15,6.09,-0.22,0.39,-0.083,2.659,3.4,1.72,L,0,2,hit_into_play,home_run,110.8
2026-08-10,3,21,1,SI,Sinker,98.1,2220,1.6,6.18,1.18,0.93,0.068,2.919,3.31,1.67,R,0,0,foul,,76.1
2026-08-10,3,21,2,CH,Changeup,88.2,1864,2.11,6.1,1.05,0.19,1.821,2.293,3.31,1.67,R,0,1,ball,,
2026-08-10,3,21,3,SL,Slider,93.3,2150,2.19,6.07,-0.21,0.59,0.442,2.292,3.31,1.67,R,1,1,foul_tip,,
2026-08-10,3,21,4,FF,4-Seam Fastball,97.6,2423,1.69,6.33,0.52,1.49,0.484,3.976,3.31,1.67,R,1,2,swinging_strike,strikeout,
2026-08-10,4,28,1,SI,Sinker,96.7,2266,1.67,6.23,0.86,1.05,-1.598,2.575,3.19,1.61,L,0,0,ball,,
2026-08-10,4,28,2,SI,Sinker,95.6,2240,1.9,6.29,1.0,1.16,0.117,2.124,3.19,1.61,L,1,0,called_strike,,
2026-08-10,4,28,3,CU,Curveball,78.2,2531,1.8,6.32,-0.77,-0.56,0.168,2.768,3.19,1.61,L,1,1,hit_into_play,field_out,85.3
2026-08-10,4,29,1,CH,Changeup,85.0,1800,2.35,6.09,1.28,0.6,0.304,2.355,3.21,1.62,R,0,0,hit_into_play,field_out,59.8
2026-08-10,4,30,1,FF,4-Seam Fastball,96.2,2327,1.48,6.39,0.2,1.42,-0.344,2.796,3.2,1.61,L,0,0,called_strike,,
2026-08-10,4,30,2,CH,Changeup,88.7,1779,2.03,6.15,1.0,0.42,-0.364,1.846,3.2,1.61,L,0,1,swinging_strike,,
2026-08-10,4,30,3,FF,4-Seam Fastball,98.6,2425,1.77,6.35,0.25,1.38,-0.166,2.203,3.2,1.61,L,0,2,swinging_strike,strikeout,
2026-08-10,5,34,1,CH,Changeup,86.3,1830,2.22,6.05,1.11,0.68,0.196,1.336,3.01,1.52,R,0,0,swinging_strike,,
2026-08-10,5,34,2,CH,Changeup,88.3,1970,2.23,6.04,1.25,0.67,0.222,1.196,3.01,1.52,R,0,1,ball,,
2026-08-10,5,34,3,SI,Sinker,95.6,2126,1.84,6.26,1.04,1.08,-0.05,3.285,3.01,1.52,R,1,1,swinging_strike,,
2026-08-10,5,34,4,CH,Changeup,86.8,1903,2.27,6.05,1.16,0.58,0.673,2.624,3.01,1.52,R,1,2,hit_into_play,field_out,90.8
2026-08-10,5,35,1,CU,Curveball,80.1,2428,1.84,6.28,-0.87,-0.56,-0.192,2.343,3.11,1.57,L,0,0,called_strike,,
2026-08-10,5,35,2,FF,4-Seam Fastball,97.3,2136,1.56,6.43,0.1,1.2,0.469,3.476,3.11,1.57,L,0,1,foul,,
2026-08-10,5,35,3,CH,Changeup,90.2,1861,2.04,6.07,1.25,0.12,-0.17,1.236,3.11,1.57,L,0,2,ball,,
2026-08-10,5,35,4,FF,4-Seam Fastball,98.1,2399,1.65,6.48,0.45,1.28,0.468,3.261,3.11,1.57,L,1,2,foul,,78.9
2026-08-10,5,35,5,SI,Sinker,98.6,2078,1.85,6.2,1.06,0.91,-0.215,2.623,3.11,1.57,L,1,2,foul,,88.1
2026-08-10,5,35,6,CH,Changeup,89.6,1836,2.41,6.03,0.94,0.83,0.204,1.586,3.11,1.57,L,1,2,foul,,90.6
2026-08-10,5,35,7,CH,Changeup,89.8,1963,2.08,5.98,1.11,0.35,-0.293,1.788,3.11,1.57,L,1,2,hit_into_play,field_out,104.5
2026-08-10,5,36,1,SL,Slider,90.8,2021,1.97,6.04,-0.43,0.56,0.07,1.716,3.18,1.61,R,0,0,called_strike,,
2026-08-10,5,36,2,CH,Changeup,86.6,1812,2.06,6.07,1.22,0.21,0.064,2.176,3.18,1.61,R,0,1,foul,,74.8
2026-08-10,5,36,3,FF,4-Seam Fastball,99.4,2391,1.77,6.28,0.24,1.44,0.004,3.228,3.18,1.61,R,0,2,foul,,81.5
2026-08-10,5,36,4,CU,Curveball,83.5,2582,1.71,6.1,-0.97,-0.3,-2.462,0.692,3.18,1.61,R,0,2,hit_by_pitch,hit_by_pitch,
2026-08-10,5,37,1,CH,Changeup,86.7,1928,1.93,6.07,1.22,0.44,-0.332,0.656,3.24,1.63,R,0,0,blocked_ball,,
2026-08-10,5,37,2,FF,4-Seam Fastball,96.6,2253,1.87,6.25,0.34,1.41,0.702,2.391,3.24,1.63,R,1,0,foul,,
2026-08-10,5,37,3,CH,Changeup,87.4,1823,2.17,6.08,1.27,0.3,1.444,1.498,3.24,1.63,R,1,1,ball,,
2026-08-10,5,37,4,FF,4-Seam Fastball,96.8,2222,1.67,6.34,0.14,1.4,-0.804,2.449,3.24,1.63,R,2,1,foul,,58.4
2026-08-10,5,37,5,FF,4-Seam Fastball,97.1,2307,1.89,6.34,0.35,1.34,1.416,4.211,3.24,1.63,R,2,2,ball,,
2026-08-10,5,37,6,SI,Sinker,97.4,2280,1.85,6.21,1.21,0.75,-1.007,2.888,3.24,1.63,R,3,2,ball,walk,
2026-08-10,5,38,1,SI,Sinker,95.9,2266,1.74,6.3,1.24,0.98,-0.6,1.768,3.4,1.72,L,0,0,called_strike,,
2026-08-10,5,38,2,FF,4-Seam Fastball,97.2,2384,1.52,6.44,0.24,1.6,1.569,3.99,3.4,1.72,L,0,1,ball,,
2026-08-10,5,38,3,FF,4-Seam Fastball,96.2,2360,1.57,6.46,0.1,1.57,0.497,3.222,3.4,1.72,L,1,1,foul,,78.4
2026-08-10,5,38,4,FF,4-Seam Fastball,98.2,2370,1.69,6.39,0.24,1.35,-0.237,2.064,3.4,1.72,L,1,2,foul,,83.2
2026-08-10,5,38,5,FF,4-Seam Fastball,97.9,2425,2.13,6.19,0.41,1.41,1.322,4.337,3.4,1.72,L,1,2,ball,,
2026-08-10,5,38,6,CH,Changeup,88.6,1977,2.13,6.07,1.32,0.26,0.34,1.745,3.4,1.72,L,2,2,swinging_strike,strikeout,
2026-08-16,1,1,1,FF,4-Seam Fastball,96.3,2396,1.47,6.31,0.1,1.45,-0.212,2.805,3.13,1.58,R,0,0,foul,,
2026-08-16,1,1,2,CH,Changeup,89.3,1907,1.94,6.11,1.21,0.42,-0.043,1.707,3.13,1.58,R,0,1,hit_into_play,single,103.8
2026-08-16,1,2,1,CH,Changeup,86.1,1912,2.07,6.09,1.2,0.38,1.08,2.794,3.0,1.52,R,0,0,foul,,62.4
2026-08-16,1,2,2,SI,Sinker,95.6,2218,1.67,6.18,0.83,1.16,-0.198,3.244,3.0,1.52,R,0,1,foul,,79.3
2026-08-16,1,2,3,CH,Changeup,88.7,1842,1.82,6.09,0.53,0.75,0.526,1.725,3.0,1.52,R,0,2,hit_into_play,field_out,82.6
2026-08-16,1,3,1,FF,4-Seam Fastball,95.5,2314,1.8,6.33,0.43,1.32,0.404,2.69,3.24,1.63,R,0,0,foul,,
2026-08-16,1,3,2,FF,4-Seam Fastball,96.4,2393,1.65,6.37,0.42,1.36,0.984,3.349,3.24,1.63,R,0,1,ball,,
2026-08-16,1,3,3,SL,Slider,91.7,2217,1.83,6.24,-0.24,0.35,-1.047,1.337,3.24,1.63,R,1,1,swinging_strike,,
2026-08-16,1,3,4,CH,Changeup,88.0,1838,2.11,6.05,0.75,0.53,0.132,0.524,3.24,1.63,R,1,2,blocked_ball,,
2026-08-16,1,3,5,FF,4-Seam Fastball,96.1,2365,1.52,6.32,0.17,1.46,-0.456,2.823,3.24,1.63,R,2,2,foul,,94.1
2026-08-16,1,3,6,CH,Changeup,87.6,1863,1.99,6.14,1.13,0.22,1.216,1.234,3.24,1.63,R,2,2,swinging_strike,strikeout,
2026-08-16,1,4,1,SI,Sinker,96.5,2215,1.68,6.19,1.1,0.75,-0.011,2.905,3.22,1.62,L,0,0,hit_into_play,single,103.7
2026-08-16,1,5,1,CH,Changeup,87.6,1845,2.03,6.09,1.17,0.53,0.909,2.217,3.13,1.58,R,0,0,swinging_strike,,
2026-08-16,1,5,2,CH,Changeup,89.8,1856,2.04,6.09,1.35,0.26,0.215,1.239,3.13,1.58,R,0,1,ball,,
2026-08-16,1,5,3,FF,4-Seam Fastball,96.5,2417,1.55,6.32,0.52,1.45,-0.449,2.817,3.13,1.58,R,1,1,hit_into_play,field_out,86.4
2026-08-16,2,10,1,CH,Changeup,86.3,2018,1.89,6.15,1.02,0.47,0.485,2.3,3.31,1.67,R,0,0,called_strike,,
2026-08-16,2,10,2,FF,4-Seam Fastball,97.0,2481,1.6,6.26,0.4,1.57,-0.729,3.431,3.31,1.67,R,0,1,swinging_strike,,
